hotel_name,location,county_or_region,country,description,price_range,amenities,room_types,rating,review_summary,nearby_attractions,hotel_category,contact_information,website_url,image_url,latitude,longitude,source_url,formatted_address
Chez johnson Hotel,Kampala,Kampala Capital City,Uganda,,,,,,,,Hotel,,,,0.3009007,32.6083013,https://www.openstreetmap.org,"Chez johnson Hotel, St. Barnabas Road, Kisugu, Kansanga, Makindye, Kampala Capital City, Kampala, Central Region, Uganda"
Holiday Express Hotel,Kampala,Kampala Capital City,Uganda,,,,,,,,Hotel,+256414253451,https://www.holidayexpresshotel.com/,,0.3125059,32.5793513,https://www.openstreetmap.org,"Holiday Express Hotel, Dastur Street, Kisenyi, Central, Kampala Capital City, Kampala, Central Region, Uganda"
Millennium Dynasty Hotel,Kampala,Kampala Capital City,Uganda,,,,,,,,Hotel,,,,0.3070199,32.5619801,https://www.openstreetmap.org,"Millennium Dynasty Hotel, Rubaga Road, Old Kampala, Kisenyi, Rubaga, Kampala Capital City, Kampala, Central Region, Uganda"
Bismillah Mufuti Hotel,Kampala,Kampala Capital City,Uganda,,,,,,,,Hotel,,,,0.290145,32.6277671,https://www.openstreetmap.org,"Bismillah Mufuti Hotel, Bukasa Road, Kyeitabya, Bukasa, Makindye, Kampala Capital City, Kampala, Central Region, Uganda"
Hotel Intertropics,Kampala,Kampala Capital City,Uganda,,,,,,,,Hotel,0751052553,,,0.3244887,32.5617659,https://www.openstreetmap.org,"Hotel Intertropics, 265, Hoima Road, Kasubi, Rubaga, Kampala Capital City, Kampala, Central Region, Uganda"
SEB Hotel,Kampala,Kampala Capital City,Uganda,,,,,,,,Hotel,,,,0.2873028,32.5689009,https://www.openstreetmap.org,"SEB Hotel, Entebbe Road, Masanyalaze (zone), Najjanankubi II, Rubaga, Kampala Capital City, Kampala, Wakiso, Central Region, Uganda"
Metropole Hotel Kampala,Kampala,Kampala Capital City,Uganda,,,,,,,,Hotel,,,,0.3269059,32.5872086,https://www.openstreetmap.org,"Metropole Hotel Kampala, Acacia Avenue, Kisementi, Nakasero, Central, Kampala Capital City, Kampala, Central Region, Uganda"
Landmark Hotel,Kampala,Kampala Capital City,Uganda,,,,,,,,Hotel,,,,0.301125,32.611169,https://www.openstreetmap.org,"Landmark Hotel, Kayongo Road, Kansanga, Makindye, Kampala Capital City, Kampala, Central Region, Uganda"
Alia Bay Mbugani House,Add Listing,,Kenya,"The main house is fully furnished with 3 bedrooms and 2 beds each. The annex has 2 bedrooms with 2 beds each. Amenities include a fully equipped kitchen with gas cooker, fridge, water dispensers and assorted cutlery. Beddings, mosquito nets, towels and toiletries are provided. Lighting is by solar all round. Rates: Citizens & residents – Ksh. 12,000 Non-Residents – US$220",,,,,,,Hotel,0113434304,,,,,https://tic.magicalkenya.com/listing/alia-bay-mbugani-house/,
Batian Mbugani House,Add Listing,,Kenya,"The unit consists of four bedrooms. Two bedrooms with a double bed each. One bedroom with a double decker bed while the last bedroom with two single beds. Amenities include a bathroom, furnished sitting room, dining area and kitchen. Beddings, towels and toiletries. Lighting is by electricity. A caretaker is available. Rates: Citizens & residents: Ksh. 15,000 Non-Residents: US$ 250",,,,,,,Hotel,0113434304,,,,,https://tic.magicalkenya.com/listing/batian-mbugani-house/,
Bonkole Forest Mbugani House,Add Listing,,Kenya,"The unit consists of three bedrooms with a shared bathroom. One bedroom has two double beds, second bedroom has one double bed while the last bedroom has a double bed and a single bed. The kitchen is well equipped with crockery and assorted kitchen utensils. Refrigerator, microwave and gas oven are also provided. Lighting is by solar all round. Beddings, towels and toiletries are provided. A house caretaker is also available. Rates: Citizens & residents – Ksh. 8,500 Non-resident – 110 USD",,,,,,,Hotel,0113434304,,,,,https://tic.magicalkenya.com/listing/bonkole-forest-mbugani-house/,
